Overlapping species:
Arabidopsis thaliana
Oryza sativa
Schizosaccharomyces pombe
Saccharomyces cerevisiae
Aspergillus fumigatus
Neurospora crassa
Candida albicans
Leishmania major
Trypanosoma cruzi
Giardia lamblia
Entamoeba histolytica
Cryptosporidium parvum
Plasmodium falciparum
Plasmodium vivax
Theileria annulata
Theileria parva
Caenorhabditis briggsae
Caenorhabditis elegans
Brugia malayi
Aedes aegypti
Anopheles gambiae
Drosophila melanogaster
Apis mellifera
Ciona intestinalis
Danio rerio
Homo sapiens
Mus musculus
Thalassiosira pseudonana
Dictyostelium discoideum
Cryptococcus neoformans
Takifugu rubripes
Ciona savignyi
Ustilago maydis
Rattus norvegicus
Branchiostoma floridae
Bombyx mori
Cyanidioschyzon merolae
Bos taurus
Strongylocentrotus purpuratus
Populus trichocarpa
Sorghum bicolor
Ornithorhynchus anatinus
Gallus gallus
Equus caballus
Gasterosteus aculeatus
Chlamydomonas reinhardtii
Tetraodon nigroviridis
Candida glabrata
Kluyveromyces lactis
Yarrowia lipolytica
Debaryomyces hansenii
Pan troglodytes
Macaca mulatta
Tribolium castaneum
Drosophila pseudoobscura
Monodelphis domestica
Tetrahymena thermophila
Phytophthora sojae
Phytophthora ramorum
Nematostella vectensis
Cavia porcellus
Schistosoma mansoni
Drosophila ananassae
Pristionchus pacificus
Drosophila willistoni
Caenorhabditis japonica
Caenorhabditis remanei
Caenorhabditis brenneri
Drosophila grimshawi
Trichomonas vaginalis
Drosophila mojavensis
Drosophila virilis
Daphnia pulex
Coccidioides immitis
Rhizopus oryzae
Puccinia graminis
Trichoplax adhaerens
Ostreococcus tauri
Physcomitrella patens
Cryptosporidium hominis
Batrachochytrium dendrobatidis
Acyrthosiphon pisum
Nasonia vitripennis
Sclerotinia sclerotiorum
Pediculus humanus
Ixodes scapularis
Oryzias latipes
Monosiga brevicollis
Pongo pygmaeus
Total Overlapping species:  89
